Date,cash
2020-10-16,982266.999774974
2020-10-19,982405.3003438177
2020-10-20,982405.3003438177
2020-10-21,982271.4224560176
2020-10-22,982403.7231044864
2020-10-23,982536.8324669353
2020-10-26,982358.1574610263
2020-10-27,982358.1574610263
2020-10-28,982692.2197165487
2020-10-29,982520.1810646816
2020-10-30,982343.8577101155
2020-11-02,982649.733199599
2020-11-03,982666.4368789152
2020-11-04,982565.8444780643
2020-11-05,982896.9873863063
2020-11-06,982562.8814151449
2020-11-09,982305.3438867126
2020-11-10,982305.3438867126
2020-11-11,982460.7169011622
2020-11-12,982090.5408719588
2020-11-13,982378.3557247156
2020-11-16,982411.2201845523
2020-11-17,982431.7626226499
2020-11-18,982627.2938309241
2020-11-19,982627.2938309241
2020-11-20,982763.4976904463
2020-11-23,982187.1110595352
2020-11-24,982187.1110595352
2020-11-25,982560.7331522828
2020-11-27,982527.9416418807
2020-11-30,982392.8053358365
2020-12-01,982732.9271032342
2020-12-02,982732.9271032342
2020-12-03,981851.7379920083
2020-12-04,982364.1006254476
2020-12-07,981557.3620559112
2020-12-08,981525.2281385133
2020-12-09,981520.2341681288
2020-12-10,981520.2341681288
2020-12-11,981654.2638149747
2020-12-14,981654.2638149747
2020-12-15,981520.8663047556
2020-12-16,981221.7335665259
2020-12-17,981185.5531183231
2020-12-18,981125.2507074241
2020-12-21,980958.2654136395
2020-12-22,981224.8973318068
2020-12-23,980882.4743585566
2020-12-24,980882.4743585566
2020-12-28,981015.4523585427
2020-12-29,981015.4523585427
2020-12-30,980882.1695984037
2020-12-31,980882.1695984037
2021-01-04,980764.3770127065
2021-01-05,980682.4660592495
2021-01-06,980138.9188472213
2021-01-07,980572.2736549549
2021-01-08,979998.0062792312
2021-01-11,980609.3607625787
2021-01-12,980126.0361063454
2021-01-13,980081.5424903785
2021-01-14,980081.5424903785
2021-01-15,980081.5424903785
2021-01-19,980081.5424903785
2021-01-20,979899.1833145123
2021-01-21,979899.1833145123
2021-01-22,979899.1833145123
2021-01-25,979899.1833145123
2021-01-26,979899.1833145123
2021-01-27,980426.7408638899
2021-01-28,980426.7408638899
2021-01-29,979689.0472083995
2021-02-01,979910.2697932429
2021-02-02,980082.2593340637
2021-02-03,979910.289015771
2021-02-04,979718.5522588779
2021-02-05,979497.6794906629
2021-02-08,979259.6745682133
2021-02-09,979622.7172022267
2021-02-10,980025.3741919002
